"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\luxurypluxury\Desktop\wedding\server\controllers\UserController.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 0, 1, 33, 196
"c:\Users\luxurypluxury\Desktop\wedding\server\index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 1, 9, 35
"c:\Users\luxurypluxury\Desktop\wedding\server\models\comment.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\luxurypluxury\Desktop\wedding\server\models\product.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"c:\Users\luxurypluxury\Desktop\wedding\server\models\user.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 2, 75
"c:\Users\luxurypluxury\Desktop\wedding\server\package-lock.json", "JSON", 0, 0, 1848, 0, 0, 0, 0, 0, 0, 1, 1849
"c:\Users\luxurypluxury\Desktop\wedding\server\package.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\luxurypluxury\Desktop\wedding\server\routes\auth.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 8, 20
"c:\Users\luxurypluxury\Desktop\wedding\server\routes\product.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 8, 21
"c:\Users\luxurypluxury\Desktop\wedding\server\routes\wishlist.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 6, 15
"c:\Users\luxurypluxury\Desktop\wedding\server\utils\addUserInfo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\luxurypluxury\Desktop\wedding\server\utils\checkAuth.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\luxurypluxury\Desktop\wedding\server\utils\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\luxurypluxury\Desktop\wedding\server\utils\removeUserInfo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\luxurypluxury\Desktop\wedding\server\utils\validationErrors.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\luxurypluxury\Desktop\wedding\server\validations.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"Total", "-", 16, 510, 4519, 43, 5, 1843, 2014, 283, 121, 868, 10222
